Author,Title,ID
,"World Without End (Kingsbridge, #2)",5064
,"Fruits Basket, Vol. 2",836606
,"Blood Work (Harry Bosch Universe, #8; Terry McCaleb, #1)",1111558
,The Zahir,1427
,"The Ugly Truth (Diary of a Wimpy Kid, #5)",7823678
,Ironweed,267243
,"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)",33507
,Day Watch (Watch #2),104160
,Ghost Story,19581
,The End of the Affair,29641
,The Puppet Masters,7171856
,The Incredible Journey,231821
,The Tin Drum,35743
,Paula,24790
,The Wings of the Dove,124272
,"Map of Bones (Sigma Force, #2)",92147
,"Love's Abiding Joy (Love Comes Softly, #4)",233820
,Miss Pettigrew Lives for a Day,2277185
,The Idiot,887014
,Titus Andronicus,72978
,Alien,35125
,Love's Long Journey (Love Comes Softly #3),65484
,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",64222
,What Was She Thinking? [Notes on a Scandal],13258
,"Love Comes Softly (Love Comes Softly, #1)",65497
,"That Was Then, This Is Now",33569
,The Chosen,187181
,L'Amant,145542
,"Rodrick Rules (Diary of a Wimpy Kid, #2)",1809465
,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",578517
,"Sandstorm (Sigma Force, #1)",183822
,Animal Husbandry,136270
,Silk,61264
,The Descent,239065
,The Little Engine That Could,824204
,Choke,5776
,Falling Angel,12787
,Way of the Peaceful Warrior: A Book That Changes Lives,2255
,"A Summer to Remember (Bedwyn Prequels, #2)",35334
,The Holcroft Covenant,31233
,Stellaluna,786256
,A Monster Calls,8621462
,Maniac Magee,139463
,The Brothers Karamazov,4934
,Oscar and Lucinda,316496
,The Gormenghast Trilogy: Titus Groan/Gormenghast/Titus Alone,6068818
,"Underworld: Evolution (Underworld, #3)",33027
,The Green Berets: The Amazing Story of the U. S. Army's Elite Special Forces Unit,1508568
,Where Eagles Dare,148337
,The Wanderers,906206
,The Water is Wide,129947
,Paint it Black,33144
,"Fruits Basket, Vol. 3",836607
,Though None Go with Me,498153
,Nothing Lasts Forever,13272928
,The Afternoon When She Died,20835408
